ID	# adj_nodes	# adj_edges

1	3 2 6 10	3 1 6 11
2	3 1 3 13	3 1 2 15
3	3 2 4 16	3 2 3 19
4	3 3 5 19	3 3 4 23
5	3 4 6 22	3 4 5 27
6	3 1 5 7		3 7 5 6
7	3 6 8 24	3 7 8 30
8	3 7 9 27	3 8 9 34
9	3 8 10 30	3 9 10 38
10	3 1 9 11	3 10 11 12
11	3 10 12 32	3 12 13 41
12	3 11 13 35	3 13 14 45
13	3 2 12 14	3 14 15 16
14	3 13 15 37	3 16 17 48
15	3 14 16 40	3 17 18 52
16	3 3 15 17	3 18 19 20
17	3 16 18 42	3 20 21 55
18	3 17 19 45	3 21 22 59
19	3 4 18 20	3 22 23 24
20	3 19 21 47	3 24 25 62
21	3 20 22 50	3 25 26 66
22	3 5 21 23	3 26 27 28
23	3 22 24 52	3 28 29 69
24	3 7 23 25	3 31 29 30
25	3 24 26 54	3 31 32 72
26	2 25 27		2 32 33
27	3 8 26 28	3 33 34 35
28	2 27 29		2 35 36
29	2 28 30		2 36 37
30	3 9 29 31	3 37 38 39
31	2 30 32		2 39 40
32	3 11 31 33	3 40 41 42
33	2 32 34		2 42 43
34	2 33 35		2 43 44
35	3 12 34 36	3 44 45 46
36	2 35 37		2 46 47
37	3 14 36 38	3 47 48 49
38	2 37 39		2 49 50
39	2 38 40		2 50 51
40	3 15 39 41	3 51 52 53
41	2 40 42		2 53 54
42	3 17 41 43	3 54 55 56
43	2 42 44		2 56 57
44	2 43 45		2 57 58
45	3 18 44 46	3 58 59 60
46	2 45 47		2 60 61
47	3 20 46 48	3 61 62 63
48	2 47 49		2 63 64
49	2 48 50		2 64 65
50	3 21 49 51	3 65 66 67
51	2 50 52		2 67 68
52	3 23 51 53	3 68 69 70
53	2 52 54		2 70 71
54	2 25 53		2 71 72
