ID	# adj_nodes		# adj_tiles		type		num
1	1 2 3 4 5 6		6 2 3 4 5 6 7		Field		11
2	1 6 7 8 9 10		6 1 3 7 8 9 10		Pasture		10
3	1 2 10 11 12 13		6 1 2 4 10 11 12	Forest		3
4	2 3 13 14 15 16		6 1 3 5 12 13 14	Mountain	6
5	3 4 16 17 18 19 	6 1 4 6 14 15 16	Hill		5
6 	4 5 19 20 21 22		6 1 5 7 16 17 18	Forest		4
7	5 6 7 22 23 24		6 1 2 6 8 18 19 	Pasture		9
8	7 8 24 25 26 27		4 2 7 9 19		Field		2
9	8 9 27 28 29 30		3 2 8 10		Mountain	5
10	9 10 11 30 31 32 	4 2 3 9 11		Hill		8
11	11 12 32 33 34 35 	3 3 10 12		Desert		-1
12	12 13 14 35 36 37	4 3 4 11 13		Hill		4
13	14 15 37 38 39 40 	3 4 12 14		Forest		11
14	15 16 17 40 41 42 	4 4 5 13 15		Pasture		12
15	17 18 42 43 44 45 	3 5 14 16		Field		9
16	18 19 20 45 46 47 	4 5 6 15 17		Pasture		10
17	20 21 47 48 49 50 	3 6 16 18		Field		8
18	21 22 23 50 51 52 	4 6 7 17 19		Mountain	3
19	23 24 25 52 53 54	3 7 8 18		Forest		6
